gene_id	dmso_a	dmso_b	thz500_a	thz500_b	thz100_a	thz100_b	actinomycin150_a	actinomycin150_b	actinomycin10_a	actinomycin10_b
ENSG00000010278.11	9491	5714	10075	8270	7907	8761	9329	11763	8823	5620
ENSG00000010282.14	0	0	0	0	0	0	0	0	0	0
ENSG00000010292.12	7208	4538	3848	3322	6558	7259	3635	4494	7065	4683
ENSG00000010295.19	708	468	508	413	651	761	416	523	660	355
ENSG00000010310.8	117	52	98	84	66	93	101	140	109	68
ENSG00000010318.19	178	121	164	125	152	151	158	177	181	109
ENSG00000010319.6	7	2	3	6	2	3	12	7	5	3
ENSG00000010322.15	3277	2121	2052	1667	3117	3603	2274	2814	3527	2211
ENSG00000010327.10	2	4	14	6	1	4	4	0	3	0
ENSG00000010361.13	119	70	117	95	104	84	86	131	113	81
ENSG00000010379.15	5	7	11	9	4	3	7	6	7	6
ENSG00000010404.17	5202	3027	4408	3739	4212	4692	4233	4767	4910	3381
ENSG00000010438.16	0	0	0	0	0	0	0	0	0	0
ENSG00000010539.11	717	448	65	58	579	602	78	87	712	448
ENSG00000010610.9	1	1	4	2	2	4	2	4	6	1
ENSG00000010626.14	96	63	87	89	83	80	106	125	89	62
ENSG00000010671.15	1	0	1	3	2	0	2	2	1	2
ENSG00000010704.18	671	402	710	536	510	598	576	734	603	430
ENSG00000010803.16	1220	748	1054	938	1157	1319	879	985	956	633
ENSG00000010810.17	112	53	82	60	117	111	37	62	77	45
ENSG00000010818.8	3047	1877	1495	1209	2518	2758	318	324	1612	1037
ENSG00000010932.15	8	8	18	12	21	17	11	8	11	8
ENSG00000011007.12	2377	1438	1483	1295	2133	2371	1138	1408	2567	1675
ENSG00000011009.10	1675	1069	1247	1055	1676	1783	1153	1428	1896	1220
ENSG00000011021.21	344	181	204	177	298	318	195	269	281	185
ENSG00000011028.13	56263	34922	64187	52920	51496	56052	58898	74997	57652	37682
ENSG00000011052.21	0	0	0	0	0	0	0	0	0	0
ENSG00000011083.8	9	7	13	13	6	9	10	25	23	9
ENSG00000011105.11	1316	790	1302	1062	1177	1380	1042	1246	1011	653
ENSG00000011114.14	2124	1300	931	815	1759	1949	206	241	1453	1015
ENSG00000011132.11	1061	774	585	490	930	1148	596	808	1277	770
ENSG00000011143.16	517	364	268	207	525	578	303	354	617	376
ENSG00000011198.7	875	577	613	490	787	1027	326	403	962	613
ENSG00000011201.10	7	4	4	7	4	2	3	2	5	5
ENSG00000011243.17	1900	1168	1861	1434	1818	1891	1253	1619	2445	1543
ENSG00000011258.15	757	483	201	198	556	641	120	138	565	313
ENSG00000011260.13	3028	2038	1120	933	2703	3013	605	704	2224	1454
ENSG00000011275.18	7257	4572	4579	3760	6532	7361	1997	2253	3766	2248
ENSG00000011295.15	3378	2091	3717	3157	3008	3364	2559	3128	3166	2119
ENSG00000011304.16	22031	13976	21178	17825	19757	22964	14621	16870	23887	15505
ENSG00000011332.19	1803	1222	1112	947	1630	1971	937	1141	1849	1230
ENSG00000011347.9	13	24	20	14	18	14	12	12	25	10
ENSG00000011376.9	779	460	322	235	644	751	202	193	402	248
ENSG00000011405.13	6173	3608	4286	3573	4787	5523	2991	2982	3903	2556
ENSG00000011422.11	1255	893	685	619	1235	1469	645	841	1259	794
ENSG00000011426.10	26206	16390	19558	16027	21993	24724	15535	18390	22967	15457
ENSG00000011451.17	5263	3350	3406	2923	4780	5573	2886	3556	5192	3191
ENSG00000011454.16	3203	2182	1748	1519	2924	3384	963	1201	2287	1573
ENSG00000011465.16	0	0	0	0	0	0	0	0	0	0
ENSG00000011478.11	573	350	577	528	541	603	631	803	741	479
ENSG00000011485.14	5440	3545	4274	3676	5042	5639	3539	4608	5009	3186
ENSG00000011523.13	1401	857	438	345	1170	1290	642	645	1723	1197
ENSG00000011566.14	3107	1963	1225	1079	2461	2937	325	286	1538	1054
ENSG00000011590.13	5	7	43	25	7	8	6	11	6	6
ENSG00000011600.11	0	0	1	2	0	1	0	0	0	0
ENSG00000011638.10	824	568	510	450	731	798	464	564	849	537
ENSG00000011677.12	0	0	0	1	0	0	0	0	0	0
ENSG00000012048.19	3812	2336	1842	1493	2802	3188	1332	1426	2595	1761
ENSG00000012061.15	3082	1935	2689	2286	2853	3220	2394	3052	3046	1922
ENSG00000012124.14	29	24	32	23	36	37	29	40	34	18
ENSG00000012171.17	680	400	709	634	597	658	710	867	724	454
ENSG00000012174.11	1892	1226	1462	1185	1431	1474	1332	1589	1515	972
ENSG00000012211.12	228	143	87	69	216	269	75	81	255	168
ENSG00000012223.12	1	3	0	0	0	0	0	0	0	0
ENSG00000012232.8	3675	2261	1693	1430	3235	3686	1071	1324	3107	2136
ENSG00000012504.13	0	0	0	0	0	0	1	1	0	0
ENSG00000012660.13	9228	5681	6731	5356	7360	8146	5249	5629	7102	4645
ENSG00000012779.10	4	0	0	1	1	1	0	2	0	1
ENSG00000012817.15	2076	1333	1498	1201	1953	2322	929	1059	1684	1035
ENSG00000012822.15	1289	819	1345	1133	1145	1358	1300	1558	1457	924
ENSG00000012963.13	2980	1897	1846	1444	2576	2873	1474	1782	2850	1839
ENSG00000012983.11	3087	1927	2255	1768	2390	2732	1212	1330	2266	1445
ENSG00000013016.14	72618	44686	32368	28102	61720	64838	29083	33376	61752	41184
ENSG00000013275.7	31793	20559	29303	25357	30523	34830	27266	35706	32990	22243
ENSG00000013288.8	4300	2631	4741	4077	3834	4261	4627	5662	4781	3110
ENSG00000013293.5	0	1	0	0	0	0	0	1	0	0
ENSG00000013297.10	16	15	20	14	12	17	9	11	27	8
ENSG00000013306.15	10532	6641	11016	9177	9999	11442	10290	13174	11354	7529
ENSG00000013364.18	2565	1525	2304	1961	2261	2598	2174	2631	2522	1644
ENSG00000013374.15	4532	2889	3132	2544	3957	4490	2363	2792	4206	2841
ENSG00000013375.15	3849	2356	2346	1849	3127	3633	2146	2346	3424	2235
ENSG00000013392.7	371	253	95	52	332	376	141	190	464	325
ENSG00000013441.15	3491	2223	1691	1355	2886	3481	2811	3197	3945	2532
ENSG00000013503.9	784	450	234	186	669	798	58	77	483	281
ENSG00000013523.9	816	534	398	334	693	796	424	409	875	539
ENSG00000013561.17	5844	3758	2847	2306	5068	5679	2137	2411	5165	3385
ENSG00000013563.13	1106	660	1033	844	927	996	999	1293	1124	764
ENSG00000013573.16	1278	746	874	672	1151	1414	694	755	1015	650
